ofqual_id,overview,unit_id,unit_title,unit_description,unit_learning_outcomes,qualification_type,qualification_level,assessment_methods,sector_subject_area,awarding_organisation,total_credits,guided_learning_hours,total_qualification_time,awarding_organization
603/4162/2,"Level 3 Certificate in Principles of Sales is designed for learners who wish to develop their skills and knowledge to work in the sales sector, allowing for career progression in various sales roles.",H/502/8232,Understanding customers' creditworthiness for sales purposes,This unit focuses on assessing customers’ credit status and ongoing credit monitoring.,"1. The learner will understand the process of assessing customers’ creditworthiness.
  - explain the legal and regulatory requirements relevant to obtaining finance for customers
  - explain the basis for calculating customers’ borrowing needs
  - explain the features and requirements of different sources of finance (eg hire purchase, bank loans, leasing)
  - describe the information needed to be able to carry out credit searches
  - explain the process for setting credit limits on customers
  - describe the requirements of financial checks through banks, credit rating agencies and supplier references
  - explain the actions to be taken if credit searches findings are negative
  - explain where to refer customers for financial assessment and/or advice.
2. The learner will understand how customers’ ongoing credit status is monitored.
  - explain the importance of formal agreements with customers
  - describe the different criteria customers’ accounts are monitored against
  - explain the actions to be taken with regard to changes in credit limits, spending patterns and the status of customer accounts.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,"Level 3 Certificate in Principles of Sales is designed for learners who wish to develop their skills and knowledge to work in the sales sector, allowing for career progression in various sales roles.",M/502/8234,Competitor analysis in the sales environment,"This unit explores the use of sales-related information, competitor analysis and its implications on sales performance.","1. The learner will understand the use of sales-related information.
  - describe how sales-related information is used to enhance sales performance (markets, volume, mix and value)
  - explain the benefits and risks of using different sources of sales-related information.
2. The learner will understand the collection and storage requirements of sales-related information.
  - describe the advantages and disadvantages of different systems to gather sales-related information
  - explain the importance of safe, secure and accessible data storage
  - explain the importance of ensuring the currency and accuracy of sales-related information
  - explain how to validate the sales-related information collected.
3. The learner will understand the use of tools and methods for analysing quantitative and qualitative sales-related information.
  - explain the use, strengths and limitations of different analytical software packages
  - explain the differences between primary and secondary data
  - describe the criteria against which competitor information is analysed and evaluated
  - explain how to identify trends in sales- and competitor-related information
  - describe the formats for presenting the analysis of sales-related information.
4. The learner will understand how the results of competitor analysis are used.
  - explain the findings of competitor analysis on sales potential and performance
  - describe the impact of competitor activity on sales activities and plans
  - explain the use of competitor information in the formulation of sales proposals
  - explain who needs to know about competitor activity and why.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,"Level 3 Certificate in Principles of Sales is designed for learners who wish to develop their skills and knowledge to work in the sales sector, allowing for career progression in various sales roles.",D/601/7644,Principles of personal responsibilities and how to develop and evaluate own performance at work,"This unit discusses personal responsibilities, evaluation, and improvement of work performance.","1. The learner will understand the employment rights and responsibilities of the employee and employer and their purpose.
  - identify the main points of contracts of employment and their purpose
  - outline the main points of legislation affecting employers and employees and their purpose, including anti-discrimination and entitlement legislation
  - identify where to find information on employment rights and responsibilities both internally and externally
  - explain the purpose and functions of representative bodies that support employees
  - explain employer and employee responsibilities for equality and diversity in a business environment
  - explain the benefits of making sure equality and diversity procedures are followed in a business environment.
2. The learner will understand the purpose of health, safety and security procedures in a business environment.
  - explain employer and employee responsibilities for health, safety and security in a business environment
  - explain the purpose of following health, safety and security procedures in a business environment.
3. The learner will understand how to manage own work.
  - explain the reasons for planning and prioritising own work
  - identify ways of planning and prioritising own work
  - explain the purpose of keeping other people informed about progress
  - describe methods of dealing with pressure in a business environment.
4. The learner will understand how to evaluate and improve own performance in a business environment.
  - explain the purpose of continuously evaluating and improving own performance in a business environment
  - describe ways of evaluating and improving own performance in a business environment
  - explain the purpose of encouraging and accepting feedback from others
  - explain different types of career pathways and roles available.
5. The learner will understand the types of problems that may occur with own work and how to deal with them.
  - describe the types of problems that may occur with own work
  - explain ways of dealing with problems that may occur with own work
  - explain how and when to refer problems to relevant colleagues.
6. The learner will understand the decision making process.
  - explain key stages in the decision-making process
  - explain the purpose of not exceeding own limits of authority in making decisions.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,"This qualification provides learners with the knowledge and skills needed for working in a variety of sectors, including health and social care, education, and business.",D/601/5313,Unit 1: Understanding the Role of a Care Worker,This unit covers the responsibilities and duties of a care worker within health and social care settings.,"1. Understand the role of a care worker.
  - Describe the responsibilities of a care worker
  - Explain the importance of communication in a care setting",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,"This qualification provides learners with the knowledge and skills needed for working in a variety of sectors, including health and social care, education, and business.",D/601/5314,Unit 2: Principles of Safe Practice in care settings,This unit focuses on the principles of safe practice in care settings to protect both care workers and service users.,"1. Understand the importance of safe practice in care settings.
  - Identify risks in care settings
  - Explain how to implement safety measures",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,This qualification aims to provide learners with the necessary skills and knowledge to excel in their respective fields.,D/601/5313,Unit 1: Introduction to Skills,This unit covers the fundamental skills required for effective performance in a specific occupation.,"1. Understand the basic concepts and principles of the skills.
  - Explain the importance of skills in the workplace
  - Identify key skills required for job roles",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,This qualification aims to provide learners with the necessary skills and knowledge to excel in their respective fields.,K/601/5314,Unit 2: Advanced Skills Development,This unit focuses on the development of advanced skills necessary for career progression.,"1. Apply advanced skills in a practical environment.
  - Demonstrate advanced techniques in real-world scenarios
  - Evaluate the impact of advanced skills on job performance",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,This qualification is designed to provide learners with the necessary skills and knowledge to progress within their chosen field.,A/123/4567,Unit 1: Introduction to the Qualification,This unit provides an overview of the qualification's purpose and objectives.,"1. Understand the aims of the qualification.
  - Identify the qualification's goals.
  - Explain the relevance of the qualification in a professional context.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,This qualification is designed to provide learners with the necessary skills and knowledge to progress within their chosen field.,B/234/5678,Unit 2: Key Skills Development,Focuses on developing essential skills necessary for success in the field.,"1. Apply key skills in practical scenarios.
  - Demonstrate effective communication skills.
  - Utilize analytical skills in problem-solving.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,This qualification is designed to provide learners with the necessary skills and knowledge to progress within their chosen field.,C/345/6789,Unit 3: Assessment and Evaluation,Covers methods of assessing and evaluating performance.,"1. Evaluate different assessment methods.
  - Identify assessment techniques.
  - Analyze the effectiveness of evaluation strategies.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/3422/8,"The Ascentis Level 1 Award in Awareness of Social Media and Online Safety is designed to help learners understand the benefits and potential risks when using the internet and social media, teaching them how to safeguard themselves.",T/617/1468,Awareness of Social Media and Online Safety,"This unit covers the impact of internet technologies on society, issues and risks of online use, and strategies for managing and preventing online safety risks.","1. Understand the impact of internet technologies on society
  - Identify the benefits of internet technologies
  - Discuss potential risks associated with internet use
2. Recognise the issues and the potential risks that users face when online
  - Enumerate common online risks
  - Discuss how to recognize harmful online content
3. Identify and manage risk and take preventative measures to stay safe online
  - Outline steps to take if faced with online risks
  - Demonstrate knowledge of privacy settings on social media",Other Life Skills Qualification,Level 1,E-assessment,Digital technology (users),/organisations/RN5200,1.0,10.0,11.0,Ascentis
603/4162/2,"This qualification provides a comprehensive understanding of various key subjects in the field, focusing on essential skills and knowledge applicable in real-world scenarios.",D/601/5313,Unit 1: Understanding the Fundamentals,"This unit covers the fundamental principles that support the qualification, providing a basis for further study.","1. Understand core concepts of the subject
  - Explain key theories
  - Identify practical applications",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,"This qualification provides a comprehensive understanding of various key subjects in the field, focusing on essential skills and knowledge applicable in real-world scenarios.",H/601/5314,Unit 2: Advanced Techniques,"This unit explores advanced methods and techniques relevant to the qualification, enhancing practical skills and expertise.","1. Demonstrate advanced technical skills
  - Perform complex tasks
  - Apply advanced techniques in practical scenarios",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,"This qualification provides a comprehensive understanding of various key subjects in the field, focusing on essential skills and knowledge applicable in real-world scenarios.",K/601/5315,Unit 3: Evaluation and Reflection,This unit encourages critical thinking and evaluation of the concepts learned throughout the qualification.,"1. Critically evaluate personal skills and development
  - Reflect on learning outcomes
  - Develop a personal improvement plan",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
601/4162/1,"Level 3 NVQ Diploma in Built Environment Design: Architecture. To achieve this qualification, learners must complete a minimum total of 102 credits consisting of 95 mandatory core credits and at least 7 optional credits.",L/616/7328,Produce and Recommend Detailed Design Solutions in Built Environment Design,This unit focuses on producing and recommending detailed design solutions relevant to built environment design projects.,"1. Learners will understand how to produce detailed design solutions.
  - Identify design requirements based on project specifications.
  - Develop solutions to meet design criteria.",Occupational Qualification,Level 3,Portfolio of Evidence,Building and construction,/organisations/RN5167,102.0,530.0,1020.0,Scottish Qualifications Authority trading as SQA
601/4162/1,"Level 3 NVQ Diploma in Built Environment Design: Architecture. To achieve this qualification, learners must complete a minimum total of 102 credits consisting of 95 mandatory core credits and at least 7 optional credits.",K/616/7191,Maintain Professional Relationships and Practice in Built Environment Design,This unit covers maintaining professional relationships and practices in the field of built environment design.,"1. Learners will learn how to maintain professional practices in design.
  - Demonstrate effective communication within professional contexts.
  - Manage conflicts and maintain relationships.",Occupational Qualification,Level 3,Portfolio of Evidence,Building and construction,/organisations/RN5167,102.0,530.0,1020.0,Scottish Qualifications Authority trading as SQA
601/4162/1,"Level 3 NVQ Diploma in Built Environment Design: Architecture. To achieve this qualification, learners must complete a minimum total of 102 credits consisting of 95 mandatory core credits and at least 7 optional credits.",J/616/7179,Investigate Factors Affecting Project Development in Built Environment Design,This unit involves investigating the various factors that impact project development in built environment design.,"1. Learners will be able to assess project development factors.
  - Identify key factors influencing project timelines.
  - Evaluate the impact of external variables on project success.",Occupational Qualification,Level 3,Portfolio of Evidence,Building and construction,/organisations/RN5167,102.0,530.0,1020.0,Scottish Qualifications Authority trading as SQA
601/4162/1,"Level 3 NVQ Diploma in Built Environment Design: Architecture. To achieve this qualification, learners must complete a minimum total of 102 credits consisting of 95 mandatory core credits and at least 7 optional credits.",L/616/7300,Prepare Drawings and Schedules in Built Environment Design,This unit is about preparing drawings and schedules that are essential for built environment design projects.,"1. Learners will understand how to prepare detailed design documentation.
  - Create accurate drawings in suitable formats.
  - Prepare comprehensive project schedules.",Occupational Qualification,Level 3,Portfolio of Evidence,Building and construction,/organisations/RN5167,102.0,530.0,1020.0,Scottish Qualifications Authority trading as SQA
601/4162/1,"Level 3 NVQ Diploma in Built Environment Design: Architecture. To achieve this qualification, learners must complete a minimum total of 102 credits consisting of 95 mandatory core credits and at least 7 optional credits.",M/616/7127,Collate Project Information and Prepare Specifications in Built Environment Design,This unit focuses on collating all necessary project information and preparing relevant specifications.,"1. Learners will learn to compile project specifications effectively.
  - Gather and synthesize project information.
  - Draft specifications adhering to project standards.",Occupational Qualification,Level 3,Portfolio of Evidence,Building and construction,/organisations/RN5167,102.0,530.0,1020.0,Scottish Qualifications Authority trading as SQA
601/4162/1,"Level 3 NVQ Diploma in Built Environment Design: Architecture. To achieve this qualification, learners must complete a minimum total of 102 credits consisting of 95 mandatory core credits and at least 7 optional credits.",R/616/7248,"Plan, Carry Out and Present Measured Surveys in Built Environment Design","Learners will plan and execute measured surveys relevant to built environment design, documenting findings effectively.","1. Demonstrate the ability to conduct measured surveys.
  - Plan and execute surveys efficiently.
  - Present survey results in a clear format.",Occupational Qualification,Level 3,Portfolio of Evidence,Building and construction,/organisations/RN5167,102.0,530.0,1020.0,Scottish Qualifications Authority trading as SQA
601/4162/1,"Level 3 NVQ Diploma in Built Environment Design: Architecture. To achieve this qualification, learners must complete a minimum total of 102 credits consisting of 95 mandatory core credits and at least 7 optional credits.",F/504/7483,Carry Out and Present Condition Surveys in Built Environment Design,This unit involves conducting condition surveys and presenting findings to stakeholders.,"1. Learners will assess the condition of built environment projects.
  - Conduct thorough condition assessments.
  - Publish clear reports on survey findings.",Occupational Qualification,Level 3,Portfolio of Evidence,Building and construction,/organisations/RN5167,102.0,530.0,1020.0,Scottish Qualifications Authority trading as SQA
601/4162/1,"Level 3 NVQ Diploma in Built Environment Design: Architecture. To achieve this qualification, learners must complete a minimum total of 102 credits consisting of 95 mandatory core credits and at least 7 optional credits.",H/504/7511,Monitor Tests and Present Reports in Built Environment Design,This unit covers the monitoring of tests relevant to built projects and reporting results.,"1. Learners will monitor testing procedures effectively.
  - Ensure accurate documentation of test results.
  - Analyze test findings for project improvement.",Occupational Qualification,Level 3,Portfolio of Evidence,Building and construction,/organisations/RN5167,102.0,530.0,1020.0,Scottish Qualifications Authority trading as SQA
601/4162/1,"Level 3 NVQ Diploma in Built Environment Design: Architecture. To achieve this qualification, learners must complete a minimum total of 102 credits consisting of 95 mandatory core credits and at least 7 optional credits.",D/616/7334,Report On and Prepare Applications to Secure Consents in Built Environment Design,Learners will learn to prepare consents applications and reports for design projects.,"1. Demonstrate proficiency in drafting consent applications.
  - Identify necessary consents for projects.
  - Prepare complete and accurate applications.",Occupational Qualification,Level 3,Portfolio of Evidence,Building and construction,/organisations/RN5167,102.0,530.0,1020.0,Scottish Qualifications Authority trading as SQA
603/4162/2,"This qualification focuses on music theory and notation within popular music, helping learners understand the origins, structure, and basic elements of the music they perform, along with analytical skills for different genres.",A/001/0001,Theori a Nodiant Cerddorol mewn Cerddoriaeth Boblogaidd – Mewnol,"This unit expands the understanding and technical vocabulary of musicians, introducing a variety of music theory and notation conventions, developing the ability to accurately identify devices used in various genres of popular music.","1. Know a variety of musical theory terms and devices across various styles and genres of popular/rock music
  - Nodi dyfeisiau harmonig, melodig a rhythmig o recordiadau a sgorau o amrywiaeth o arddulliau cerddoriaeth boblogaidd
  - Esbonio effaith a diben confensiynau harmonig, rhythmig, melodig ac offeryniaeth o fewn amrywiaeth o genres
  - Dehongli nodweddion nodiant genres penodol
  - Defnyddio nodiant i gynrychioli traw, rhythm, harmoni, deinameg, tempo a mynegiant yn dra chywir
2. Understand conventions of notation in various styles and genres of popular and rock music
  - Nodi dyfeisiau harmonig, melodig a rhythmig o recordiadau a sgorau o amrywiaeth o arddulliau cerddoriaeth boblogaidd
  - Esbonio effaith a diben confensiynau harmonig, rhythmig, melodig ac offeryniaeth o fewn amrywiaeth o genres
  - Dehongli nodweddion nodiant genres penodol
  - Defnyddio nodiant i gynrychioli traw, rhythm, harmoni, deinameg, tempo a mynegiant yn dra chywir",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,"This qualification focuses on understanding choreographic artists' work, their influences, and developing relevant technical and performance skills.",A/000/0001,Cyd-destun a Dylanwadau Coreograffydd Allweddol,"This unit aims to develop learners' knowledge and understanding of the work of a selected choreographer and their influences, alongside gaining insights into the vision and style of the choreographer including performance requirements.","1. Understand the life, work and influences of the selected choreographer.
  - Describe the background and life of the selected choreographer
  - Explain their key works and their significance
  - Elucidate how their work has influenced the genre of dance
2. Dance and perform a selection of movements and sequences in the style of the selected choreographer.
  - Practice dance material in the style of the selected choreographer
  - Perform a dance sequence based on the choreographer's work showing the artistic style, stamina and strength.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/7900/5,Level 3 NVQ Diploma in Occupational Work Supervision (Construction),J/617/8387,Developing and Maintaining Good Occupational Working Relationships in the Workplace,This unit covers the ability to foster and maintain positive working relationships with colleagues and stakeholders in the workplace.,"1. Understand the importance of good relationships in the workplace
  - Explain why good relationships are beneficial
  - Identify strategies to improve relationships
2. Establish and maintain good working relationships
  - Demonstrate effective communication
  - Resolve conflicts constructively",Occupational Qualification,Level 3,Portfolio of Evidence,Building and construction,/organisations/RN5167,89.0,387.0,890.0,Scottish Qualifications Authority trading as SQA
603/7900/5,Level 3 NVQ Diploma in Occupational Work Supervision (Construction),K/616/6574,Confirming the Occupational Method of Work in the Workplace,Learners will be able to confirm the methods of work required to carry out tasks safely and effectively within the workplace.,"1. Confirm methods of work comply with customer specifications
  - Review work methods against specifications
  - Suggest improvements to methods",Occupational Qualification,Level 3,Portfolio of Evidence,Building and construction,/organisations/RN5167,89.0,387.0,890.0,Scottish Qualifications Authority trading as SQA
603/7900/5,Level 3 NVQ Diploma in Occupational Work Supervision (Construction),F/617/8388,"Implementing and Maintaining Health, Safety, Environmental and Welfare Practices in the Workplace",This unit focuses on ensuring that health and safety protocols are adhered to in the workplace.,"1. Understand health and safety responsibilities
  - Identify legal responsibilities
  - Explain the importance of health and safety training",Occupational Qualification,Level 3,Portfolio of Evidence,Building and construction,/organisations/RN5167,89.0,387.0,890.0,Scottish Qualifications Authority trading as SQA
603/7900/5,Level 3 NVQ Diploma in Occupational Work Supervision (Construction),M/616/7144,Co-ordinating and Organising Work Operations in the Workplace,Develops skills to manage and oversee work operations effectively.,"1. Plan and organise work operations
  - Demonstrate ability to prioritize tasks
  - Coordinate with relevant teams",Occupational Qualification,Level 3,Portfolio of Evidence,Building and construction,/organisations/RN5167,89.0,387.0,890.0,Scottish Qualifications Authority trading as SQA
603/7900/5,Level 3 NVQ Diploma in Occupational Work Supervision (Construction),T/617/8386,Monitoring Progress of Work Against Schedules in the Workplace,Focuses on tracking work progress and ensuring schedules are met.,"1. Assess work progress against planned schedules
  - Identify delays in progress
  - Implement corrective actions",Occupational Qualification,Level 3,Portfolio of Evidence,Building and construction,/organisations/RN5167,89.0,387.0,890.0,Scottish Qualifications Authority trading as SQA
603/7900/5,Level 3 NVQ Diploma in Occupational Work Supervision (Construction),L/618/8809,Confirming Work Activities and Resources for an Occupational Work Area in the Workplace,Focuses on understanding and securing the necessary resources for workload completion.,"1. Ensure resources are available for work activities
  - Allocate resources effectively
  - Monitor resource use throughout the work",Occupational Qualification,Level 3,Portfolio of Evidence,Building and construction,/organisations/RN5167,89.0,387.0,890.0,Scottish Qualifications Authority trading as SQA
603/7900/5,Level 3 NVQ Diploma in Occupational Work Supervision (Construction),A/617/8387,"Allocating and Monitoring the Use of Plant, Machinery, Equipment or Vehicles in the Workplace",Focuses on effective use and allocation of machinery and equipment within the workforce.,"1. Allocate resources effectively for tasks
  - Identify required machinery and equipment
  - Monitor usage and compliance",Occupational Qualification,Level 3,Portfolio of Evidence,Building and construction,/organisations/RN5167,89.0,387.0,890.0,Scottish Qualifications Authority trading as SQA
603/7900/5,Level 3 NVQ Diploma in Occupational Work Supervision (Construction),M/617/8385,"Confirming Work Meets Contractual, Industry and Manufacturers’ Standards in the Workplace",Focuses on validating that completed work meets necessary standards and specifications.,"1. Confirm work meets required standards
  - Review work against standards
  - Document compliance",Occupational Qualification,Level 3,Portfolio of Evidence,Building and construction,/organisations/RN5167,89.0,387.0,890.0,Scottish Qualifications Authority trading as SQA
603/7900/5,Level 3 NVQ Diploma in Occupational Work Supervision (Construction),K/617/8384,Implementing Procedures to Support Team Performance in the Workplace,This unit emphasizes the importance of team procedures in achieving effective collaboration.,"1. Implement procedures that enhance team performance
  - Identify team roles and responsibilities
  - Monitor team dynamics and performance",Occupational Qualification,Level 3,Portfolio of Evidence,Building and construction,/organisations/RN5167,89.0,387.0,890.0,Scottish Qualifications Authority trading as SQA
603/7900/5,Level 3 NVQ Diploma in Occupational Work Supervision (Construction),H/617/8383,Co-ordinating and Confirming the Dimensional Control Requirements of the Work in the Workplace,This unit addresses the need to control and coordinate dimensions in construction work.,"1. Ensure work adheres to dimensional controls
  - Identify control measures
  - Monitor compliance with dimensional plans",Occupational Qualification,Level 3,Portfolio of Evidence,Building and construction,/organisations/RN5167,89.0,387.0,890.0,Scottish Qualifications Authority trading as SQA
603/4438/6,Level 1 Award in Practical Cleaning Skills (Trauma Scenes) supports individuals into work by providing the skills cleaning operatives require.,PCS06,Prepare to work in the cleaning industry,"This unit covers the preparation needed to work in the cleaning industry, including personal protective equipment (PPE) usage, cleaning agents, and waste disposal.","1. Be able to prepare self and work area
  - Select and check condition of Personal Protective Equipment (PPE) for faults
  - State to whom PPE faults should be reported
  - Wear correct PPE for the job
  - Maintain personal appearance in line with organisational requirements
  - List correct hand washing procedures
  - Prepare work area for cleaning by placing hazard warning signs and ventilating area.
2. Know the requirements for disposal and storage of personal protective equipment
  - State how to dispose of used PPE
  - State the importance of disposing used PPE correctly
  - State the importance of checking PPE after use
  - State the importance of cleaning and storing PPE correctly.
3. Be able to prepare cleaning agents and materials safely
  - Select correct cleaning agents according to the type of dirt and surface
  - Check cleaning agents are within expiry dates before use
  - State to whom expired cleaning agents should be reported
  - Use relevant data and risk assessment sheets to prepare cleaning solutions.
4. Be able to dispose of and store cleaning agents and materials
  - Dispose of cleaning solutions in an environmentally friendly manner
  - Clean containers after use
  - Check and store cleaning materials correctly
5. Be able to use equipment and machines safely
  - Select correct equipment for the job
  - Check each part of the machine is clean and working safely
  - Explain the purpose of a circuit breaker
6. Be able to store equipment and machines safely
  - Check, clean and store equipment and machines correctly
  - State to whom shortage of machines and equipment should be reported.",Occupational Qualification,Level 1,"Portfolio of Evidence, Practical Demonstration/Assignment, Practical Examination, Task-based Controlled Assessment",Service enterprises,/organisations/RN6036,,48.0,48.0,CIWM
603/4438/6,Level 1 Award in Practical Cleaning Skills (Trauma Scenes) supports individuals into work by providing the skills cleaning operatives require.,PCTS1,Work at and clean a trauma scene,"This unit is focused on the competencies required to safely clean trauma scenes, including the handling of hazardous items and bodily fluids.","1. Be able to prepare for cleaning bodily fluids, spillages and hazardous items at a trauma scene
  - Identify the risks associated with cleaning a trauma scene
  - Explain why you should be vaccinated before undertaking work in trauma scenes
  - Select, check and wear correct Personal Protective Equipment (PPE)
2. Be able to remove and clean bodily fluids, spillages and hazardous items at a trauma scene
  - Follow workplace procedures for entering a trauma scene
  - Identify and remove bodily fluids using correct methods and equipment
  - Inspect area to ensure all surfaces are cleaned, rinsed and dried.
3. Be able to dispose of bodily fluids and hazardous items and reinstate area at a trauma scene
  - Dispose of bodily fluids and hazardous items in accordance with legal and workplace requirements
  - Check, clean and dry equipment and materials after use.
  - Report situations outside the responsibility of the job role.",Occupational Qualification,Level 1,"Portfolio of Evidence, Practical Demonstration/Assignment, Practical Examination, Task-based Controlled Assessment",Service enterprises,/organisations/RN6036,,48.0,48.0,CIWM
603/4162/2,"This specification provides details on the Level 4 End Point Assessment for Probate Technicians, developed to meet the requirements of the apprenticeship standard.",A/001/0001,Presentation and Q&A,An assessment component where the apprentice presents information followed by a Q&A session with independent assessors.,"1. Demonstrate knowledge and understanding of Probate law as it relates to the role of a Probate Technician.
  - Clear explanation of legal concepts related to probate.
  - Effective communication during the Q&A session.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,"This specification provides details on the Level 4 End Point Assessment for Probate Technicians, developed to meet the requirements of the apprenticeship standard.",A/001/0002,Interview,An assessment component that involves a structured interview with the apprentice by an independent assessor.,"1. Demonstrate interpersonal skills and legal knowledge during the interview.
  - Ability to respond to questions with legal accuracy.
  - Demonstration of professional demeanor.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,"This specification provides details on the Level 4 End Point Assessment for Probate Technicians, developed to meet the requirements of the apprenticeship standard.",A/001/0003,Integrated Qualification Unit Assessment,A case study-based assessment module assessing practical application of knowledge in real-world scenarios.,"1. Apply legal principles to case studies and scenarios related to Probate.
  - Analytical skills in case assessment.
  - Ability to propose solutions based on legal knowledge.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
600/0478/2,"This qualification is designed primarily for learners who wish to develop advanced occupational skills and knowledge in a wide range of supervisory and monitoring skills in food processing, food service and retail to confirm occupational competence in specific job roles including food processing controller, food packaging technician, food service supervisor, and quality assurance manager.",J/502/7428,"Support commissioning of plant, equipment and processes in food operations","This unit supports workforce development for understanding how to support commissioning of plant, equipment, and processes in food business.","1. Understand how to plan commissioning
  - Explain how to construct a commissioning plan
  - Summarise how to source procedures and specifications
  - Explain the importance of training to the implementation of new plant, equipment or processes.
2. Understand how to monitor commissioning
  - Explain the importance of cross-functional working
  - State types and sources of relevant information and data
  - Explain how to use collated information and data to inform improvements to the operation of the plant, equipment or process.
3. Understand how to support commissioning
  - Evaluate the impact on operations commissioning may have
  - Complete commissioning activity in accordance with organisational requirements.",Occupational Qualification,Level 3,Portfolio of Evidence,Manufacturing technologies,/organisations/RN5184,27.0,109.0,270.0,FDQ Limited
600/0478/2,"This qualification is designed primarily for learners who wish to develop advanced occupational skills and knowledge in a wide range of supervisory and monitoring skills in food processing, food service and retail to confirm occupational competence in specific job roles including food processing controller, food packaging technician, food service supervisor, and quality assurance manager.",F/502/7427,"Understand how to support commissioning of plant, equipment and processes in food operations",This unit aims to prepare learners to understand how to assist with commissioning processes in food operations.,,Occupational Qualification,Level 3,Portfolio of Evidence,Manufacturing technologies,/organisations/RN5184,27.0,109.0,270.0,FDQ Limited
600/0478/2,"This qualification is designed primarily for learners who wish to develop advanced occupational skills and knowledge in a wide range of supervisory and monitoring skills in food processing, food service and retail to confirm occupational competence in specific job roles including food processing controller, food packaging technician, food service supervisor, and quality assurance manager.",D/602/5811,Maintain plant and equipment in food operations,Learn to maintain and manage operational efficiency of plant equipment pertinent to food production.,,Occupational Qualification,Level 3,Portfolio of Evidence,Manufacturing technologies,/organisations/RN5184,27.0,109.0,270.0,FDQ Limited
600/0478/2,"This qualification is designed primarily for learners who wish to develop advanced occupational skills and knowledge in a wide range of supervisory and monitoring skills in food processing, food service and retail to confirm occupational competence in specific job roles including food processing controller, food packaging technician, food service supervisor, and quality assurance manager.",K/602/5830,Understand how to maintain plant and equipment in food operations,Learn the theoretical aspects of plant and equipment maintenance in food operations.,,Occupational Qualification,Level 3,Portfolio of Evidence,Manufacturing technologies,/organisations/RN5184,27.0,109.0,270.0,FDQ Limited
600/0478/2,"This qualification is designed primarily for learners who wish to develop advanced occupational skills and knowledge in a wide range of supervisory and monitoring skills in food processing, food service and retail to confirm occupational competence in specific job roles including food processing controller, food packaging technician, food service supervisor, and quality assurance manager.",A/602/4617,Diagnose problems in food operations,This unit teaches how to identify and troubleshoot common issues within food operations.,,Occupational Qualification,Level 3,Portfolio of Evidence,Manufacturing technologies,/organisations/RN5184,27.0,109.0,270.0,FDQ Limited
600/0478/2,"This qualification is designed primarily for learners who wish to develop advanced occupational skills and knowledge in a wide range of supervisory and monitoring skills in food processing, food service and retail to confirm occupational competence in specific job roles including food processing controller, food packaging technician, food service supervisor, and quality assurance manager.",F/602/4618,Understand how to diagnose problems in food operations,Learn theoretical approaches to problem diagnosis in food processing environments.,,Occupational Qualification,Level 3,Portfolio of Evidence,Manufacturing technologies,/organisations/RN5184,27.0,109.0,270.0,FDQ Limited
